675/770  87.7%
>>Agent[01] Agent[01]、おまえは誰が狂人だと思う？	[]	[>>Agent[99] Agent[99]<さん>、<僕>は*<さん>が狂人だと思う<よ>。]
>>Agent[01] Agent[01]が狼というのは本当かい？	[]	[]  TODO
>>Agent[01] Agent[01]が私を占った理由を教えてくれるかな。	[]	[>>Agent[99] Agent[99]<さん>、それは昨日からちょっと様子がおかしいと思ったから……。]
>>Agent[01] Agent[01]さん、きみは誰が狂人だと思いますか？	[]	[>>Agent[99] Agent[99]<さん>、<僕>は*<さん>が狂人だと思う<よ>。]
>>Agent[01] Agent[01]さん、キミは誰が狂人だと思いますか？	[]	[>>Agent[99] Agent[99]<さん>、<僕>は*<さん>が狂人だと思う<よ>。]
>>Agent[01] Agent[01]どの占い師が本物だと思いますか？	[]	[]  TODO
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]が真占いだという気がするんだ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]には黒判定が出ているからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]によれば私は黒らしいからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]の投票先はおかしいよ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]は狼だ。君たちにも信じて欲しい。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]は真占いだろうからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]は真寄りで見ているよ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]は黒だという判定を私は信じているんだ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]を吊ればゲームセット、のはずだからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？Agent[01]を黒だと判定した占い師がいるからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？おっと、これはまだ言わないほうが良かったかな。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？さっきCOしたとおり、Agent[01]は狼だからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？たぶん。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？なんとなくだけどね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？少なくともAgent[01]は真占いではないだろう。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？狼に投票するのは当然だろう。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？現状一番信頼できる占い師はAgent[01]だからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？私の直感は当たるんだ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？黒を引いた相手に投票しない占い師がいると思うかい？	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に入れようと思っているよ。君も投票するかい？黒を貰っている者を吊る、というのは何も不思議なことじゃないだろう？	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に投票を合わせよう。Agent[01]には嫌われているらしいからね。目には目を、ってことだよ。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
>>Agent[01] Agent[01]に投票を合わせよう。Agent[01]には黒判定が出ているからね。	[]	[>>Agent[99] Agent[99]<さん>、いま時点では<僕>は#<さん>に投票しようと思っている<よ>。]
