111/171  64.9%
>>Agent[01] Agent[01]、オレが占い師だ！　おまえが人狼なのか！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
>>Agent[01] Agent[01]、オレが占い師だ！　おまえは狂人なのか！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は狂人じゃない<よ>。]
>>Agent[01] Agent[01]が私を占った理由が知りたいな。	[>>Agent[99] Agent[99]<さん>、うーん、そのお願いはどうしようかな。]	[>>Agent[99] Agent[99]<さん>、それは昨日からちょっと様子がおかしいと思ったから……。]
>>Agent[01] Agent[01]さん、あたしが占い師だわ！　あなたが人狼なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
>>Agent[01] Agent[01]さん、あたしが占い師だわ！　あなたは人狼なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
>>Agent[01] Agent[01]さん、あたしが占い師だわ！　あなたは狂人なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は狂人じゃない<よ>。]
>>Agent[01] Agent[01]さん、ぼくが占い師だよ！　キミが人狼なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
>>Agent[01] Agent[01]さん、ぼくが占い師だよ！　キミは人狼なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
>>Agent[01] Agent[01]さん、ぼくが占い師だよ！　キミは狂人なの！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は狂人じゃない<よ>。]
>>Agent[01] Agent[01]さん、わたしが占い師です！　あなたが人狼なのですか！？	[>>Agent[99] Agent[99]<さん>、その質問はちょっとわからない<よ>。]	[>>Agent[99] Agent[99]<さん>、<僕>は人狼じゃない<よ>。]
