3COか。内訳は真狼狂かな。	[Skip]
3人も占い師CO！？ボクの考えだと占い師の中に人狼がいるね。	[Skip]
3人占い師COで、対抗占い師に黒出ししたAgent[01]は信用できると思うよ。Agent[01]はAgent[01]に黒を、Agent[01]はボクに白を出したよね。	[Skip]
3人占い師COで、対抗占い師に黒出ししたAgent[01]は信用できると思うよ。Agent[01]はAgent[01]に黒を、Agent[01]はボクに黒を出したよね。	[Skip]
3人占い師COで、対抗占い師に黒出ししたAgent[01]は信用できると思うよ。Agent[01]はボクに白を、Agent[01]はAgent[01]に黒を出したよね。	[Skip]
3人占い師COで、対抗占い師に黒出ししたAgent[01]は信用できると思うよ。Agent[01]はボクに黒を、Agent[01]はAgent[01]に黒を出したよね。	[Skip]
>>Agent[01] Agent[01]、おまえが人狼なのか！？	[Skip]
>>Agent[01] Agent[01]、おまえは狂人なのか！？	[Skip]
>>Agent[01] Agent[01]、おまえは誰が人狼だと思う？	[Skip]
>>Agent[01] Agent[01]、オレが占い師だ！　おまえが人狼なのか！？	[Skip]
>>Agent[01] Agent[01]、オレが占い師だ！　おまえは狂人なのか！？	[Skip]
>>Agent[01] Agent[01]、オレはAgent[01]が怪しいと思うぜ。	[Skip]
>>Agent[01] Agent[01]、オレはおまえが怪しいと思うぜ。	[Skip]
>>Agent[01] Agent[01]、オレは人狼じゃないぜ。	[Skip]
>>Agent[01] Agent[01]、オレは狂人じゃないぜ。	[Skip]
>>Agent[01] Agent[01]が偽占い師なので、Agent[01]は人狼だと思います。	[Skip]
>>Agent[01] Agent[01]が偽占い師なので、Agent[01]は人狼だと思いますぜ。	[Skip]
>>Agent[01] Agent[01]が偽占い師なので、Agent[01]は人狼だと思いますね。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は人狼だと思います。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は人狼だと思いますぜ。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は人狼だと思いますぜ。Agent[01]に投票しますぜ。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は人狼だと思いますね。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は人狼だと思いますわ。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は村人だと思います。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は村人だと思いますぜ。	[Skip]
>>Agent[01] Agent[01]が占い師COしたので、Agent[01]は村人だと思いますね。	[Skip]
